id,elec_type_name,volt_name,,contract_cap,run_cap,shift_no,build_date,cancel_date,chk_cycle,last_chk_date,tmp_name,tmp_date
183824412,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183824414,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183824649,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183824765,乡村居民生活用电,交流10kV,居民生活1_10kV(合表),80.0,80.0,4.0,2000-01-01 00:00:00,,12,2021-04-12 00:00:00,非临时用电,
183824908,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183824915,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183825443,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183825573,城镇居民生活用电,交流380V,居民生活<1kV(合表),38.0,38.0,1.0,2000-01-01 00:00:00,,24,2019-08-16 00:00:00,非临时用电,
183825694,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183825696,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183827667,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183827703,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183828689,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183828692,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183828696,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183829419,城镇居民生活用电,交流380V,居民生活<1kV(合表),48.0,48.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183830439,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183831172,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183832203,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183832514,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183832515,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183832599,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183832604,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183832996,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183833811,非工业,交流10kV,居民生活1_10kV(合表),50.0,50.0,1.0,2000-01-01 00:00:00,,12,2021-03-09 00:00:00,非临时用电,
183834693,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-06-02 09:11:00,,24,2000-06-02 00:00:00,非临时用电,
183834757,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-06-02 09:11:00,,24,2000-06-02 00:00:00,非临时用电,
183834758,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-06-02 09:11:00,,24,2000-06-02 00:00:00,非临时用电,
183834929,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183834939,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-08-18 15:39:00,,24,2000-08-18 00:00:00,非临时用电,
183834980,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-01-01 00:00:00,,24,2000-01-01 00:00:00,非临时用电,
183835012,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-05-11 16:22:00,,24,2000-05-11 00:00:00,非临时用电,
183835812,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-06-13 10:53:00,,24,2000-06-13 00:00:00,非临时用电,
183835844,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-08-15 16:00:00,,24,2000-08-15 00:00:00,非临时用电,
183835879,普通工业,交流10kV,居民生活1_10kV(合表),180.0,180.0,1.0,2000-01-01 00:00:00,,12,2021-04-08 00:00:00,非临时用电,
183836247,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-06-23 09:56:00,,24,2000-06-23 00:00:00,非临时用电,
183836385,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-10-30 16:47:00,,24,2000-10-30 00:00:00,非临时用电,
183836389,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-10-30 16:47:00,,24,2000-10-30 00:00:00,非临时用电,
183836663,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-07-21 17:03:00,,24,2000-07-21 00:00:00,非临时用电,
183837225,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-06-23 09:55:00,,24,2000-06-23 00:00:00,非临时用电,
183837271,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-08-15 15:59:00,,24,2000-08-15 00:00:00,非临时用电,
183837408,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-06-23 09:56:00,,24,2000-06-23 00:00:00,非临时用电,
183837822,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-10-20 17:09:00,,24,2000-10-20 00:00:00,非临时用电,
183837823,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-10-20 17:09:00,,24,2000-10-20 00:00:00,非临时用电,
183837826,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-10-20 17:09:00,,24,2000-10-20 00:00:00,非临时用电,
183837827,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-10-20 17:09:00,,24,2000-10-20 00:00:00,非临时用电,
183838331,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-11-27 14:41:00,,24,2000-11-27 00:00:00,非临时用电,
183838572,城镇居民生活用电,交流380V,居民生活<1kV(合表),10.0,10.0,1.0,2001-01-05 15:16:00,,24,2001-01-05 00:00:00,非临时用电,
183839273,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-12-18 08:45:00,,24,2000-12-18 00:00:00,非临时用电,
183839274,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-12-18 08:45:00,,24,2000-12-18 00:00:00,非临时用电,
183839276,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-12-18 08:45:00,,24,2000-12-18 00:00:00,非临时用电,
183839278,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-12-18 08:45:00,,24,2000-12-18 00:00:00,非临时用电,
183839280,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-12-18 08:45:00,,24,2000-12-18 00:00:00,非临时用电,
183839281,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-12-18 08:45:00,,24,2000-12-18 00:00:00,非临时用电,
183839792,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-12-08 11:10:00,,24,2000-12-08 00:00:00,非临时用电,
183840194,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2000-11-07 15:02:00,,24,2000-11-07 00:00:00,非临时用电,
183841972,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-01-22 14:55:00,,24,2001-01-22 00:00:00,非临时用电,
183841976,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-02-01 15:48:00,,24,2001-02-01 00:00:00,非临时用电,
183841977,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-02-01 15:48:00,,24,2001-02-01 00:00:00,非临时用电,
183841978,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-02-01 15:48:00,,24,2001-02-01 00:00:00,非临时用电,
183841984,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-02-01 15:48:00,,24,2001-02-01 00:00:00,非临时用电,
183841985,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-02-01 15:48:00,,24,2001-02-01 00:00:00,非临时用电,
183842128,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-03-05 09:14:00,,24,2001-03-05 00:00:00,非临时用电,
183842351,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-02-01 15:48:00,,24,2001-02-01 00:00:00,非临时用电,
183842604,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-01-21 08:38:00,,24,2001-01-21 00:00:00,非临时用电,
183842605,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-01-21 08:38:00,,24,2001-01-21 00:00:00,非临时用电,
183842606,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-01-21 08:38:00,,24,2001-01-21 00:00:00,非临时用电,
183842607,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-01-21 08:38:00,,24,2001-01-21 00:00:00,非临时用电,
183842609,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-01-21 08:38:00,,24,2001-01-21 00:00:00,非临时用电,
183843742,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-03-13 09:12:00,,24,2001-03-13 00:00:00,非临时用电,
183843749,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-03-13 09:12:00,,24,2001-03-13 00:00:00,非临时用电,
183843751,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-03-13 09:12:00,,24,2001-03-13 00:00:00,非临时用电,
183843755,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-03-13 09:12:00,,24,2001-03-13 00:00:00,非临时用电,
183844637,非居民照明,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-03-26 10:00:00,,24,2001-03-26 00:00:00,非临时用电,
183844998,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,4.0,2001-04-26 11:41:00,,24,2001-04-26 00:00:00,非临时用电,
183845465,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-04-20 08:25:00,,24,2001-04-20 00:00:00,非临时用电,
183845475,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-04-20 08:25:00,,24,2001-04-20 00:00:00,非临时用电,
183845478,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-04-20 08:25:00,,24,2001-04-20 00:00:00,非临时用电,
183845490,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-03-21 11:45:00,,24,2001-03-21 00:00:00,非临时用电,
183845492,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-03-21 11:45:00,,24,2001-03-21 00:00:00,非临时用电,
183845547,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-04-20 08:25:00,,24,2001-04-20 00:00:00,非临时用电,
183845905,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-04-28 16:49:00,,24,2001-04-28 00:00:00,非临时用电,
183845946,非居民照明,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-03-21 11:45:00,,24,2001-03-21 00:00:00,非临时用电,
183845949,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-03-21 11:45:00,,24,2001-03-21 00:00:00,非临时用电,
183845950,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-03-21 11:45:00,,24,2001-03-21 00:00:00,非临时用电,
183845951,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-03-21 11:45:00,,24,2001-03-21 00:00:00,非临时用电,
183846247,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-04-28 16:39:00,,24,2001-04-28 00:00:00,非临时用电,
183846314,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-06-27 08:12:00,,24,2001-06-27 00:00:00,非临时用电,
183846843,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-05-21 11:54:00,,24,2001-05-21 00:00:00,非临时用电,
183846845,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-05-21 11:54:00,,24,2001-05-21 00:00:00,非临时用电,
183846846,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-05-21 11:54:00,,24,2001-05-21 00:00:00,非临时用电,
183846847,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-05-21 11:54:00,,24,2001-05-21 00:00:00,非临时用电,
183846849,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-05-21 11:54:00,,24,2001-05-21 00:00:00,非临时用电,
183846851,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-05-21 11:54:00,,24,2001-05-21 00:00:00,非临时用电,
183846857,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-05-21 11:54:00,,24,2001-05-21 00:00:00,非临时用电,
183846860,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-05-21 11:54:00,,24,2001-05-21 00:00:00,非临时用电,
183847208,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-05-21 11:54:00,,24,2001-05-21 00:00:00,非临时用电,
183847509,城镇居民生活用电,交流380V,居民生活<1kV(合表),20.0,20.0,1.0,2001-04-20 08:27:00,,24,2001-04-20 00:00:00,非临时用电,
183847915,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-07-24 15:20:00,,24,2001-07-24 00:00:00,非临时用电,
183847916,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-07-24 15:20:00,,24,2001-07-24 00:00:00,非临时用电,
183847988,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-07-24 15:20:00,,24,2001-07-24 00:00:00,非临时用电,
183848433,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,,2001-08-27 15:07:00,,24,2001-08-27 00:00:00,非临时用电,
183848813,城镇居民生活用电,交流380V,居民生活<1kV(合表),10.0,10.0,1.0,2001-08-27 15:08:00,,24,2001-08-27 00:00:00,非临时用电,
183848932,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-08-09 10:45:00,,24,2001-08-09 00:00:00,非临时用电,
183848933,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-08-09 10:45:00,,24,2001-08-09 00:00:00,非临时用电,
183849106,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-09-29 17:20:00,,24,2001-09-29 00:00:00,非临时用电,
183850513,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-10-25 15:55:00,,24,2001-10-25 00:00:00,非临时用电,
183851075,非居民照明,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-13 14:48:00,,24,2001-12-13 00:00:00,非临时用电,
183851076,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-13 14:48:00,,24,2001-12-13 00:00:00,非临时用电,
183851295,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-09-19 17:01:00,,24,2001-09-19 00:00:00,非临时用电,
183851571,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2001-10-30 08:24:00,,24,2001-10-30 00:00:00,非临时用电,
183851654,非居民照明,交流380V,居民生活<1kV(合表),10.0,10.0,1.0,2001-10-30 08:27:00,,24,2001-10-30 00:00:00,非临时用电,
183851886,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-10-12 09:43:00,,24,2001-10-12 00:00:00,非临时用电,
183851960,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-10-12 09:43:00,,24,2001-10-12 00:00:00,非临时用电,
183852091,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-28 11:18:00,,24,2001-12-28 00:00:00,非临时用电,
183852200,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-11-30 08:41:00,,24,2001-11-30 00:00:00,非临时用电,
183852593,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-30 17:21:00,,24,2001-12-30 00:00:00,非临时用电,
183852964,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-30 17:21:00,,24,2001-12-30 00:00:00,非临时用电,
183852966,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-30 17:21:00,,24,2001-12-30 00:00:00,非临时用电,
183853732,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-25 16:24:00,,24,2001-12-25 00:00:00,非临时用电,
183853733,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-25 16:24:00,,24,2001-12-25 00:00:00,非临时用电,
183853734,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-25 16:24:00,,24,2001-12-25 00:00:00,非临时用电,
183853735,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-25 16:24:00,,24,2001-12-25 00:00:00,非临时用电,
183853736,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-25 16:24:00,,24,2001-12-25 00:00:00,非临时用电,
183853741,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-25 16:24:00,,24,2001-12-25 00:00:00,非临时用电,
183853745,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-25 16:24:00,,24,2001-12-25 00:00:00,非临时用电,
183854288,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-25 16:24:00,,24,2001-12-25 00:00:00,非临时用电,
183854289,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-25 16:24:00,,24,2001-12-25 00:00:00,非临时用电,
183854294,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-25 16:24:00,,24,2001-12-25 00:00:00,非临时用电,
183854679,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-25 16:24:00,,24,2001-12-25 00:00:00,非临时用电,
183854844,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-25 16:24:00,,24,2001-12-25 00:00:00,非临时用电,
183854855,城镇居民生活用电,交流220V,居民生活<1kV(合表),2.0,2.0,1.0,2001-12-25 16:24:00,,24,2001-12-25 00:00:00,非临时用电,
183854921,城镇居民生活用电,交流220V,居民生活<1kV(合表),4.0,4.0,1.0,2002-02-08 15:41:00,,24,2002-02-08 00:00:00,非临时用电,
170776666,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,315.0,315.0,1.0,2000-01-01 00:00:00,,12,2021-04-02 00:00:00,非临时用电,
170784067,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,500.0,500.0,1.0,2000-01-01 00:00:00,,12,2021-11-03 00:00:00,非临时用电,
170785718,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,1000.0,1000.0,1.0,2000-01-01 00:00:00,,12,2021-11-08 00:00:00,非临时用电,
170790107,大工业用电,交流10kV,居民合表电价(1-10千伏）,565.0,565.0,1.0,2001-07-05 07:40:00,,12,2021-03-25 00:00:00,非临时用电,
170915545,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,200.0,200.0,1.0,2007-03-23 07:50:00,,12,2021-03-17 00:00:00,非临时用电,
170927119,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,250.0,250.0,4.0,2008-06-04 15:01:00,,12,2021-10-31 00:00:00,非临时用电,
844124424,商业用电,交流10kV,居民合表电价(1-10千伏）,250.0,250.0,1.0,2009-11-30 00:00:00,,12,2020-12-04 00:00:00,非临时用电,
912076891,商业用电,交流10kV,居民合表电价(1-10千伏）,250.0,250.0,,2010-04-21 00:00:00,,12,2021-06-01 00:00:00,非临时用电,
920109271,商业用电,交流10kV,居民合表电价(1-10千伏）,500.0,500.0,4.0,2010-09-25 00:00:00,,12,2021-04-22 00:00:00,非临时用电,
930998638,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,160.0,0.0,,2010-06-19 00:00:00,,12,2021-06-30 00:00:00,非临时用电,
1394960422,普通工业,交流10kV,居民合表电价(1-10千伏）,250.0,250.0,1.0,2011-02-21 00:00:00,,12,2021-07-31 00:00:00,非临时用电,
1611516273,普通工业,交流10kV,居民合表电价(1-10千伏）,500.0,500.0,,2012-11-02 00:00:00,,12,2021-01-31 00:00:00,非临时用电,
1640054203,乡村居民生活用电,交流10kV,居民合表电价(1-10千伏）,250.0,250.0,,2013-10-17 00:00:00,,12,2021-01-31 00:00:00,非临时用电,
1652528658,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,250.0,250.0,,2013-03-14 00:00:00,,12,2021-01-31 00:00:00,非临时用电,
1710776740,非居民照明,交流10kV,居民合表电价(1-10千伏）,1115.0,1115.0,,2014-01-07 00:00:00,,12,2021-12-01 00:00:00,非临时用电,
1740683566,非居民照明,交流10kV,居民合表电价(1-10千伏）,3030.0,3030.0,1.0,2014-01-03 00:00:00,,12,2021-12-09 00:00:00,非临时用电,
1891021364,非居民照明,交流35kV,居民合表电价(1-10千伏）,5000.0,5000.0,,2013-12-27 00:00:00,,6,2021-11-30 00:00:00,非临时用电,
1986868804,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,315.0,315.0,4.0,2015-01-27 00:00:00,,12,2021-03-31 00:00:00,非临时用电,
1986935944,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,315.0,315.0,4.0,2015-01-15 00:00:00,,12,2021-03-31 00:00:00,非临时用电,
2223512853,乡村居民生活用电,交流10kV,居民合表电价(1-10千伏）,1000.0,1000.0,,2016-08-19 00:00:00,,12,2021-09-25 00:00:00,非临时用电,
2255371583,乡村居民生活用电,交流10kV,居民合表电价(1-10千伏）,250.0,250.0,,2017-04-06 00:00:00,,12,2021-04-30 00:00:00,非临时用电,
170518756,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,1250.0,1250.0,4.0,2009-06-23 00:00:00,,12,2021-11-08 00:00:00,非临时用电,
170534132,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,250.0,250.0,4.0,2009-06-23 00:00:00,,12,2021-03-19 00:00:00,非临时用电,
170775997,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,315.0,315.0,1.0,2000-01-01 00:00:00,,12,2021-11-03 00:00:00,非临时用电,
170776667,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,315.0,315.0,1.0,2000-01-01 00:00:00,,12,2021-04-02 00:00:00,非临时用电,
170776816,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,60.0,60.0,1.0,2000-01-01 00:00:00,,12,2021-01-18 00:00:00,非临时用电,
170777049,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,315.0,315.0,1.0,2000-01-01 00:00:00,,12,2021-01-12 00:00:00,非临时用电,
170785024,普通工业,交流10kV,居民合表电价(1-10千伏）,250.0,250.0,2.0,2000-01-01 00:00:00,,12,2021-03-08 00:00:00,非临时用电,
300610895,城镇居民生活用电,交流10kV,居民合表电价(1-10千伏）,80.0,80.0,4.0,2009-06-17 00:00:00,,12,2021-01-11 00:00:00,非临时用电,
